task,consensus,length,balance,gold_f1,bench_f1,gold_mcc,bench_mcc
hate,1,1,1,0.4695760675706981,0.6518154870605916,0.33285711753310354,0.546967347243279
hate,1,1,1,0.4687463319843459,0.6722505010822334,0.328777895454458,0.5791078642148819
hate,1,1,1,0.49554741208834874,0.6670215424240955,0.35166617558964003,0.5645655121381001
hate,1,1,1,0.48175619147613563,0.6672930931867741,0.3424922812778842,0.5674233063081254
hate,1,1,1,0.47639280621941277,0.6690115086333513,0.33886898053229736,0.5693155154635285
hate,1,1,1,0.508181594734928,0.6714593394803247,0.36728759171613135,0.5761598444211737
hate,1,1,0,0.5439073580142665,0.7105843214418671,0.36796450229241257,0.645485880311649
hate,1,1,0,0.5643415313893297,0.7139574925081184,0.3895962812779641,0.6541254644733825
hate,1,1,0,0.5586454567091548,0.700259798972473,0.3855913012813077,0.6258076465585765
hate,1,1,0,0.5717479334473412,0.7207367760377646,0.39781622025131147,0.6633216353364096
hate,1,1,0,0.5810726021770671,0.6968482651890668,0.40831164690179433,0.6258789579808938
hate,1,1,0,0.5445183081709885,0.7063917912750525,0.36870797865037086,0.6420474787514048
hate,1,0,1,0.4798290450287399,0.6566514135785992,0.33807633711475543,0.5539583685695566
hate,1,0,1,0.49351272731792606,0.6697433970521581,0.35157003356344163,0.575267903741347
hate,1,0,1,0.4743140901034064,0.6768789433490937,0.33270089847755824,0.5855661498388006
hate,1,0,1,0.4772644468457725,0.6697558661520177,0.3385553381074783,0.5754050702477558
hate,1,0,1,0.4905717618602177,0.6712971023121134,0.3494354985361384,0.5715695966831871
hate,1,0,1,0.4898745000729105,0.6739236800413139,0.3464610668945206,0.5754008072327036
hate,1,0,0,0.5439073580142665,0.7105843214418671,0.36796450229241257,0.645485880311649
hate,1,0,0,0.5643415313893297,0.7139574925081184,0.3895962812779641,0.6541254644733825
hate,1,0,0,0.5586454567091548,0.700259798972473,0.3855913012813077,0.6258076465585765
hate,1,0,0,0.5717479334473412,0.7207367760377646,0.39781622025131147,0.6633216353364096
hate,1,0,0,0.5810726021770671,0.6968482651890668,0.40831164690179433,0.6258789579808938
hate,1,0,0,0.5445183081709885,0.7063917912750525,0.36870797865037086,0.6420474787514048
hate,0,1,1,0.5079266751092198,0.6686713803650983,0.36503507028164706,0.5753414901372405
hate,0,1,1,0.5086608634703009,0.6874727246698237,0.36526185092704094,0.6034478909280273
hate,0,1,1,0.5190447275294945,0.6711430755804774,0.37347238589661924,0.5705131117566776
hate,0,1,1,0.5297167484320103,0.6659440728132225,0.3833707329219755,0.5716555615689919
hate,0,1,1,0.5331433131173793,0.6810114360302894,0.3856165107498037,0.594797905304141
hate,0,1,1,0.5175603782355361,0.6740757986991922,0.3774978205948677,0.5822647446149876
hate,0,1,0,0.56756077262823,0.7157678508329567,0.3938634290122344,0.6517313552140601
hate,0,1,0,0.5513679968620594,0.7097387426240557,0.3788602308682057,0.6538571424259427
hate,0,1,0,0.5577871551847324,0.7137116879094475,0.38798486098935736,0.6466030111066766
hate,0,1,0,0.5663652976938843,0.7124092253609217,0.38160932049080337,0.6609836941304742
hate,0,1,0,0.5746234330642681,0.7100670839729594,0.3933258458806091,0.6590128951366991
hate,0,1,0,0.583471394133416,0.718178535869912,0.4058823008653575,0.6642537902304126
hate,0,0,1,0.49476287121357226,0.6803956008775055,0.34994343588080423,0.5855675045558139
hate,0,0,1,0.5195739561865864,0.6802921269659962,0.3765132568827438,0.5882478477243612
hate,0,0,1,0.5077813509187833,0.679267338629888,0.36431687274918184,0.582030834394125
hate,0,0,1,0.519715487099862,0.6762769758294667,0.3772761831897271,0.5777728648253294
hate,0,0,1,0.5182221992466363,0.67431364341939,0.37230061812553356,0.5760119113963048
hate,0,0,1,0.4970133565152283,0.6707501267626291,0.3555081901909298,0.5732334322902086
hate,0,0,0,0.56756077262823,0.7157678508329567,0.3938634290122344,0.6517313552140601
hate,0,0,0,0.5513679968620594,0.7097387426240557,0.3788602308682057,0.6538571424259427
hate,0,0,0,0.5577871551847324,0.7137116879094475,0.38798486098935736,0.6466030111066766
hate,0,0,0,0.5663652976938843,0.7124092253609217,0.38160932049080337,0.6609836941304742
hate,0,0,0,0.5746234330642681,0.7100670839729594,0.3933258458806091,0.6590128951366991
hate,0,0,0,0.583471394133416,0.718178535869912,0.4058823008653575,0.6642537902304126
lexical_bias,1,1,1,0.7712418300653594,0.5152863191452532,0.5454170954214544,0.11509566296062314
lexical_bias,1,1,1,0.7488784574705131,0.5169295888166234,0.5053310192977606,0.1212864683274307
lexical_bias,1,1,1,0.7656215238123489,0.5237211242634405,0.5358037451891571,0.14561711553907827
lexical_bias,1,1,1,0.7670986140991645,0.5313586393609058,0.5376903876510795,0.13695023584386848
lexical_bias,1,1,1,0.7572078625829535,0.5201905777513268,0.5209301703284062,0.14425099795424473
lexical_bias,1,1,1,0.7632613621218179,0.5347092301876184,0.5270767813107677,0.1311192974133167
lexical_bias,1,1,0,0.7754686415181671,0.537279046011725,0.5509401548607451,0.1227120166795634
lexical_bias,1,1,0,0.7643746212816108,0.5350050276520865,0.5322299804038767,0.12687487350068127
lexical_bias,1,1,0,0.7698618411423257,0.5319131512060795,0.5428385346142892,0.11890544521244603
lexical_bias,1,1,0,0.7781508030124309,0.5336034668877798,0.5581053412550697,0.12439502426550898
lexical_bias,1,1,0,0.7696313619596403,0.520716935698888,0.5445663878005308,0.12866383425378838
lexical_bias,1,1,0,0.7727621949752018,0.5290491436552369,0.546558071112465,0.1225366045121643
lexical_bias,1,0,1,0.7807559551710913,0.5099053679064047,0.5646708915467927,0.11788759321218842
lexical_bias,1,0,1,0.764668652271035,0.521558768070396,0.5418899386026871,0.14516100404809643
lexical_bias,1,0,1,0.7504216696447955,0.5101894815449064,0.507030498312352,0.10474487720021924
lexical_bias,1,0,1,0.7547172625428566,0.520841066163023,0.5246576210651729,0.138648376351049
lexical_bias,1,0,1,0.7862362802760153,0.520527537233824,0.5752784018856303,0.11731555226805093
lexical_bias,1,0,1,0.7667233996744502,0.5112903374905171,0.5403239963429873,0.12738067577332984
lexical_bias,1,0,0,0.7754686415181671,0.537279046011725,0.5509401548607451,0.1227120166795634
lexical_bias,1,0,0,0.7643746212816108,0.5350050276520865,0.5322299804038767,0.12687487350068127
lexical_bias,1,0,0,0.7698618411423257,0.5319131512060795,0.5428385346142892,0.11890544521244603
lexical_bias,1,0,0,0.7781508030124309,0.5336034668877798,0.5581053412550697,0.12439502426550898
lexical_bias,1,0,0,0.7696313619596403,0.520716935698888,0.5445663878005308,0.12866383425378838
lexical_bias,1,0,0,0.7727621949752018,0.5290491436552369,0.546558071112465,0.1225366045121643
lexical_bias,0,1,1,0.7795424584894761,0.5321175830157866,0.5590849169789522,0.12114798103770288
lexical_bias,0,1,1,0.7890766026382782,0.5427220745593817,0.5794429605061114,0.13895103068543802
lexical_bias,0,1,1,0.7888091561449723,0.5316279353531882,0.5784648599920886,0.11264867916881975
lexical_bias,0,1,1,0.7901930690867032,0.5286196870640829,0.584631759798275,0.14247356709609096
lexical_bias,0,1,1,0.7986301369863014,0.5390445274606092,0.5980175984485474,0.1426800682680041
lexical_bias,0,1,1,0.79319383357768,0.5348522646277457,0.5865756328792807,0.11499185639496932
lexical_bias,0,1,0,0.7819735105231153,0.5379265836694029,0.5648880849621407,0.12165576118289913
lexical_bias,0,1,0,0.7804256219279349,0.5474697287200251,0.5672865774935516,0.1569012077043298
lexical_bias,0,1,0,0.7872158795670828,0.5396974159860758,0.5764130632576793,0.11837966563096058
lexical_bias,0,1,0,0.7972413793103448,0.5512835285196022,0.5944857110962101,0.14787803713533418
lexical_bias,0,1,0,0.7835949550857454,0.5499092423538594,0.5672160358980671,0.13432180040837366
lexical_bias,0,1,0,0.7991433686359148,0.544044665012407,0.6023779286230443,0.109124079972691
lexical_bias,0,0,1,0.757801161103048,0.5228352253751994,0.5165119891733897,0.10723660600343886
lexical_bias,0,0,1,0.7682953061951103,0.5342467861625844,0.5377326508857785,0.11163107076400133
lexical_bias,0,0,1,0.7775725226270596,0.5310375258228204,0.5575822082619797,0.09231956317626004
lexical_bias,0,0,1,0.7781508030124309,0.5351186168435728,0.5563275501546957,0.1083990715435655
lexical_bias,0,0,1,0.7768372878343552,0.5380649794938979,0.5536860826160831,0.11119839937496517
lexical_bias,0,0,1,0.7859888983885416,0.5355887472894983,0.5732663171269059,0.10594443455477294
lexical_bias,0,0,0,0.7819735105231153,0.5379265836694029,0.5648880849621407,0.12165576118289913
lexical_bias,0,0,0,0.7804256219279349,0.5474697287200251,0.5672865774935516,0.1569012077043298
lexical_bias,0,0,0,0.7872158795670828,0.5396974159860758,0.5764130632576793,0.11837966563096058
lexical_bias,0,0,0,0.7972413793103448,0.5512835285196022,0.5944857110962101,0.14787803713533418
lexical_bias,0,0,0,0.7835949550857454,0.5499092423538594,0.5672160358980671,0.13432180040837366
lexical_bias,0,0,0,0.7991433686359148,0.544044665012407,0.6023779286230443,0.109124079972691
