model,size,gold_f1_mean,gold_f1_std,gold_mcc_mean,gold_mcc_std,bench_f1_mean,bench_f1_std,bench_mcc_mean,bench_mcc_std,n_folds
ModernBERT-base,1000,0.7257234848802058,0.011419140210437356,0.45280643155316785,0.02193860943700311,0.4872299037972527,0.010287408551765404,0.11083518817348133,0.007680533020870574,6
ModernBERT-base,4000,0.7652054045703673,0.00512154598883598,0.5312854455053144,0.010084028507908302,0.5430527523598858,0.008900331167326187,0.15796377600205364,0.011506813865654022,6
ModernBERT-base,16000,0.7847447152030482,0.008035519892167688,0.5698736666921618,0.016052061249812295,0.5650558153655975,0.006837047603748257,0.1880073645286536,0.009751505173709978,6
ModernBERT-base,64000,0.7872405407348947,0.004729835170910311,0.5752055539095703,0.009407844710404442,0.5696931009876665,0.006387402042210885,0.18017305131415276,0.016146904454126823,6
ModernBERT-base,128000,0.7938593737070233,0.007927439680128694,0.5884808307159063,0.015591290012767873,0.570385054324066,0.005327706265757652,0.17991493325945548,0.013092019392806796,6
roberta-base,1000,0.7598696153290159,0.017993445502307925,0.5269199267592676,0.026414448050253128,0.5242132876270437,0.008874807513968668,0.1374369707299903,0.02032025728269536,6
roberta-base,4000,0.7713097411867693,0.0073065972603228585,0.5532829064186479,0.011305364825180277,0.5612956843544264,0.006442716062139679,0.16307314417914834,0.009584829780688638,6
roberta-base,16000,0.7801428182236276,0.011884977211845133,0.5674868958977007,0.02227034978708878,0.5765072803889082,0.0064781661676002415,0.18026882086115434,0.015257841469500514,6
roberta-base,64000,0.7959216892516053,0.007800698034057916,0.5947941873057474,0.01570100643931414,0.57818031417817,0.0034672733545676646,0.17989242099792227,0.007884317154631282,6
roberta-base,128000,0.7965540456461714,0.007721713232280842,0.5939464789893255,0.015737962237944974,0.5799486719241247,0.0072709555145397415,0.1890468823499151,0.01818749958794392,6
